시설구분,시설타입,시설명,시설위치_경도,시설위치_위도
어린이집,민간,해오름어린이집,127.08433629999999,37.13238264
어린이집,가정,햇살가득어린이집,127.0418168,37.1821641
어린이집,가정,행복한아이들어린이집,127.0794942,37.15289078
어린이집,가정,휴튼사과나무어린이집,127.0496376,37.1779755
어린이집,직장,(주)아모레퍼시픽 오산어린이집,127.04025159999998,37.16531071
어린이집,가정,꼬마천사어린이집,127.06939809999999,37.14001839
어린이집,가정,꿈꾸는아이어린이집,127.0688327,37.17018661
어린이집,가정,꿈동산어린이집,127.08265970000001,37.13016828
어린이집,가정,꿈동이어린이집,127.0555153,37.16306134
어린이집,민간,꿈에그린어린이집,127.05272140000001,37.17272295
어린이집,민간,꿈이자라는뜰어린이집,127.04086940000002,37.18234072
어린이집,가정,다사랑어린이집,127.07514579999999,37.15315471
어린이집,가정,리틀대통령어린이집,127.07564479999999,37.14446687
어린이집,민간,리틀램어린이집,127.0351983,37.14258445
어린이집,가정,마루어린이집,127.0446544,37.14484764
어린이집,민간,문시어린이집,127.04436709999999,37.17208718
어린이집,가정,미소가득어린이집,127.05135609999999,37.17693639
어린이집,민간,별다래 어린이집,127.0693872,37.13001264
어린이집,가정,보경어린이집,127.0439361,37.14445727
어린이집,가정,봄빛어린이집,127.07314550000001,37.13035976
어린이집,가정,사랑나무어린이집,127.0760496,37.15264414
어린이집,가정,사랑몬테소리어린이집,127.0794045,37.15689273
어린이집,가정,산새소리어린이집,127.0785136,37.15101235
어린이집,가정,삼환코코 어린이집,127.0718378,37.13266267
어린이집,가정,i-편한어린이집,127.0705737,37.13721025
어린이집,민간,고은어린이집,127.0335856,37.19065929
어린이집,법인·단체,구세군샛별어린이집,127.07336940000002,37.16064808
어린이집,가정,대림행복한어린이집,127.0356436,37.1949761
어린이집,가정,더샵다온어린이집,127.0652608,37.19201469
어린이집,민간,동그라미어린이집,127.0713473,37.13778094
어린이집,민간,동산어린이집,127.03307679999999,37.19460545
어린이집,가정,두드림어린이집,127.06272140000002,37.19275351
어린이집,가정,꼬마뜰어린이집,127.08018390000001,37.15443464
어린이집,가정,꼬마에밀어린이집,127.06761780000001,37.13430596
어린이집,가정,아이야어린이집,127.06782630000001,37.17482521
어린이집,가정,아이큰숲어린이집,127.0553446,37.17296719
어린이집,가정,앙팡어린이집,127.06943629999999,37.1392343
어린이집,가정,어깨동무어린이집,127.0434419,37.17233601
어린이집,직장,엔젤어린이집,127.0363673,37.16136543
어린이집,법인·단체,영락어린이집,127.06860079999998,37.15748489
어린이집,가정,자이사랑어린이집,127.0925795,37.15089929
어린이집,가정,자이숲어린이집,127.0886428,37.15002033
어린이집,가정,좋은아이어린이집,127.06091210000001,37.16468597
어린이집,가정,즐거운어린이집,127.0409514,37.18555005
어린이집,민간,지움어린이집,127.052994,37.13983147
어린이집,민간,취국제1어린이집,127.08042890000002,37.15493128
어린이집,가정,코코가베어린이집,127.07581689999999,37.15196725
어린이집,가정,큰사랑어린이집,127.0762166,37.15499742
어린이집,가정,키즈맘어린이집,127.05287179999999,37.13954256
어린이집,민간,키즈청호어린이집,127.08389220000001,37.13534674
어린이집,가정,토마토어린이집,127.0484183,37.1462412
어린이집,가정,푸른하늘어린이집,127.0745116,37.14172251
어린이집,민간,피카소어린이집,127.0553446,37.17296719
어린이집,가정,하늘땅어린이집,127.0821919,37.13128439
어린이집,가정,하늘숲어린이집,127.0685502,37.13466091
어린이집,가정,하비어린이집,127.0701153,37.13663168
어린이집,가정,한주창의 어린이집,127.0774362,37.14023662
어린이집,가정,해맑은아이들어린이집,127.0670679,37.13003124
어린이집,가정,해소년어린이집,127.081849,37.13631308
어린이집,가정,영재어린이집,127.0357037,37.19619323
어린이집,가정,예다솜어린이집,127.039988,37.18649279
어린이집,가정,예뜰어린이집,127.05366200000002,37.17176199
어린이집,가정,예쁜아이어린이집,127.07293030000001,37.13258548
어린이집,가정,예사랑어린이집,127.06476029999999,37.19284214
어린이집,가정,예크어린이집,127.03945470000001,37.18525579
어린이집,가정,우남어린이집,127.0543087,37.1633092
어린이집,가정,우미숲속어린이집,127.055967,37.17248277
어린이집,가정,운암비테에어린이집,127.07502379999998,37.15080158
어린이집,민간,은파어린이집,127.06708619999999,37.13275358
어린이집,가정,이레몬테소리어린이집,127.07661770000001,37.14768839999999
어린이집,민간,자람터어린이집,127.0615612,37.15955934
어린이집,국공립,시립시티자이어린이집,127.0926898,37.14922304
어린이집,국공립,시립예일어린이집,127.06681370000001,37.13513232
어린이집,국공립,시립오산숲어린이집,127.0489838,37.17235724
어린이집,국공립,시립보듬이나눔이어린이집,127.04012250000001,37.16244373
어린이집,국공립,시립운암6단지어린이집,127.07753729999999,37.1443294
어린이집,국공립,시립자연숲따복어린이집,127.04386070000001,37.14388008
어린이집,국공립,시립잔다리어린이집,127.0404712,37.18484509
어린이집,국공립,시립청학행복어린이집,127.05691340000001,37.15508007
어린이집,국공립,시립푸른숲어린이집,127.07670870000001,37.12731673
어린이집,국공립,시립한아름어린이집,127.027454,37.167513899999996
어린이집,가정,신아어린이집,127.0400923,37.18602446
어린이집,가정,아기둥지어린이집,127.05008400000001,37.14257879
어린이집,가정,아기천사어린이집,127.09246759999999,37.14865438
어린이집,민간,아람어린이집,127.0586308,37.16380312
어린이집,가정,아이꿈어린이집,127.0479369,37.17791494
어린이집,가정,아이나무어린이집,127.06692350000002,37.17511036
어린이집,가정,아이랑어린이집,127.0635321,37.16347874
어린이집,가정,아이맘어린이집,127.07620790000001,37.14445085
어린이집,민간,새싹뜰어린이집,127.0735834,37.16264998
어린이집,가정,새싹어린이집,127.0797503,37.15342352
어린이집,가정,새아람어린이집,127.0584848,37.16373948
어린이집,가정,색동어린이집,127.03303419999999,37.19053994
어린이집,민간,설리반어린이집,127.061039,37.16416362
어린이집,가정,세교물향기어린이집,127.04800870000001,37.17721211
어린이집,가정,세교신도시 꼬마숲어린이집,127.05447420000002,37.17156674
어린이집,가정,세마어린이집,127.03374699999999,37.19739343
어린이집,가정,소담어린이집,127.04701829999999,37.17517115
어린이집,가정,소망어린이집,127.0757771,37.14497213
어린이집,민간,수자인봄누리어린이집,127.08735859999999,37.14182201
어린이집,민간,숲속어린이집,127.0701308,37.13390045
어린이집,국공립,시립가온어린이집,127.07730990000002,37.15888641
어린이집,국공립,시립꽃다리어린이집,127.04645359999998,37.17918026
어린이집,국공립,시립나리어린이집,127.0774277,37.15996853
어린이집,국공립,시립매홀어린이집,127.0588308,37.17203374
어린이집,국공립,시립미래클어린이집,127.07085649999999,37.15093079
어린이집,국공립,시립비둘기어린이집,127.072216,37.13347531
어린이집,국공립,시립삼미어린이집,127.06389750000001,37.17241306
어린이집,국공립,시립세교어린이집,127.04336090000001,37.1745712
어린이집,국공립,시립세교자이어린이집,127.0636094,37.17353876
어린이집,국공립,시립세교호반어린이집,127.06692350000002,37.17511036
어린이집,국공립,시립세마어린이집,127.0449228,37.18460987
어린이집,국공립,시립시티자이3단지어린이집,127.09239240000001,37.15217865
어린이집,국공립,시립아이행복어린이집,127.04666840000002,37.18659966
어린이집,국공립,시립오산세교복지타운어린이집,127.04484,37.17774984
어린이집,국공립,시립오산어린이집,127.0711483,37.14711887
어린이집,국공립,시립오산자이어린이집,127.0801936,37.13026775
어린이집,국공립,시립은빛어린이집,127.0420527,37.17667544
어린이집,국공립,시립은여울어린이집,127.06686840000002,37.17095466
어린이집,국공립,시립자이꿈미어린이집,127.0887616,37.14887595
어린이집,국공립,시립죽미어린이집,127.0516683,37.17938038
어린이집,국공립,시립청호어린이집,127.0878466,37.12865402
어린이집,국공립,시립청호행복어린이집,127.0866085,37.130677899999995
어린이집,국공립,시립초록별어린이집,127.0503504,37.14132683
어린이집,국공립,시립파크시티어린이집,127.0619778,37.19275076
어린이집,국공립,시립푸르지오어린이집,127.0830542,37.1608448
어린이집,국공립,시립한신어린이집,127.0213876,37.19354923
어린이집,가정,신동아 어린이집,127.0442081,37.14415184
어린이집,가정,아가랑어린이집,127.040299,37.18537625
어린이집,가정,아기별어린이집,127.05603090000001,37.16348693
어린이집,가정,아띠어린이집,127.0635321,37.16347874
어린이집,가정,아름다운뜰어린이집,127.08146070000001,37.15978453
어린이집,가정,아이꿈터어린이집,127.05800959999999,37.17183237
어린이집,가정,아이누리어린이집,127.07564709999998,37.14606238
어린이집,민간,아이뜰어린이집,127.0801199,37.13341343
어린이집,민간,아이마루어린이집,127.07086559999999,37.13137013
어린이집,민간,아이사랑어린이집,127.0732492,37.13394777
어린이집,가정,아이숲어린이집,127.0713473,37.13778094
어린이집,가정,다솜어린이집,127.07688359999999,37.14038789
어린이집,가정,다원어린이집,127.0883986,37.14936145
어린이집,가정,샛별어린이집,127.0774228,37.138596
어린이집,가정,세교꿈사랑어린이집,127.04436709999999,37.17208718
어린이집,민간,세교삐아제어린이집,127.04701829999999,37.17517115
어린이집,가정,세교아이사랑어린이집,127.0441937,37.17095074
어린이집,가정,세빛나어린이집,127.08013770000001,37.15666998
어린이집,민간,소리샘어린이집,127.0765986,37.15315089
어린이집,가정,솔빛어린이집,127.0888135,37.14345863
어린이집,가정,숲속나무어린이집,127.0809755,37.15791689
어린이집,가정,스마일어린이집,127.0440118,37.17310441
어린이집,국공립,시립금바위어린이집,127.04693940000001,37.17140296
어린이집,국공립,시립남부어린이집,127.07233390000002,37.13853267
어린이집,국공립,시립세교행복어린이집,127.0592888,37.14747199
어린이집,국공립,시립수청어린이집,127.054947,37.174217999999996
어린이집,가정,아이원어린이집,127.0679614,37.131305499999996
어린이집,가정,아이조아어린이집,127.0645676,37.17539018
어린이집,가정,아이좋아어린이집,127.07950890000002,37.15429703
어린이집,민간,아이펀어린이집,127.04941229999999,37.14002523
어린이집,가정,아일린어린이집,127.051552,37.17617994
어린이집,가정,애기똥풀어린이집,127.0264612,37.16777134
어린이집,가정,엄마품어린이집,127.05542460000001,37.16124015
어린이집,가정,엘림어린이집,127.06913279999999,37.16693361
어린이집,민간,영재몬테소리어린이집,127.07087220000001,37.13219044
어린이집,민간,예가어린이집,127.06702649999998,37.17285721
어린이집,가정,예닮어린이집,127.0543087,37.1633092
어린이집,가정,예쁘지요어린이집,127.0735604,37.13265986
어린이집,가정,예쁜토토어린이집,127.03385279999999,37.19667272
어린이집,민간,예인나라어린이집,127.0577351,37.1976747
어린이집,가정,예튼발도르프어린이집,127.07989409999999,37.15796715
어린이집,직장,오산경찰서어린이집,127.08222669999999,37.15363058
어린이집,가정,오산빅스맘어린이집,127.077474,37.155696
어린이집,가정,오산사임당어린이집,127.08019170000001,37.13467566
어린이집,직장,오산시청어린이집,127.0776805,37.15097333
어린이집,직장,오산한국병원직장어린이집,127.07051909999998,37.14088782
어린이집,민간,오스카어린이집,127.0480858,37.14723149
어린이집,민간,우남꿈터어린이집,127.0543087,37.1633092
어린이집,가정,우림어린이집,127.0726054,37.13029472
어린이집,민간,우주어린이집,127.0756053,37.14549434
어린이집,가정,웃는아이어린이집,127.0466606,37.17659401
어린이집,가정,원동어린이집,127.0741381,37.14007158
어린이집,가정,이든아이어린이집,127.06495990000002,37.19144569
어린이집,가정,이삭어린이집,127.0809352,37.13052277
어린이집,민간,자연어린이집,127.08129509999999,37.14080919
어린이집,가정,자이수피아어린이집,127.09305819999999,37.14982825
어린이집,가정,자이어린이집,127.0901758,37.14975522
어린이집,민간,죽미마을어린이집,127.0526361,37.17574235
어린이집,민간,중앙어린이집,127.06392679999999,37.15360072
어린이집,민간,지구촌어린이집,127.07207340000002,37.16079664
어린이집,가정,천사들의합창어린이집,127.04447140000002,37.17160082
어린이집,가정,천사무지개어린이집,127.07110759999999,37.13437272
어린이집,민간,청원어린이집,127.0723949,37.15370369
어린이집,가정,초롱어린이집,127.07924809999999,37.15462963
어린이집,가정,코젤어린이집,127.05012140000001,37.14196597
어린이집,민간,코코꿈마을어린이집,127.0827847,37.1319986
어린이집,가정,키움어린이집,127.07642179999999,37.15455646
어린이집,가정,키즈솔어린이집,127.07105779999999,37.13722101
어린이집,가정,태양어린이집,127.06760320000001,37.17048861
어린이집,가정,푸른숲어린이집,127.05481280000001,37.16185982
어린이집,가정,피오레어린이집,127.07346650000001,37.12932429
어린이집,가정,하늘나무어린이집,127.0810173,37.13197434
어린이집,가정,하늘만큼땅만큼어린이집,127.0743022,37.14694996
어린이집,가정,하늘아이어린이집,127.0484583,37.1773851
어린이집,가정,하솜어린이집,127.06307859999998,37.19334074
어린이집,민간,하얀뜰어린이집,127.0715394,37.13167003
어린이집,민간,한라어린이집,127.0507406,37.14198634
어린이집,민간,한빛어린이집,127.0756851,37.15338199
어린이집,가정,한솔어린이집,127.0681967,37.13546188
어린이집,민간,한솔키즈어린이집,127.06798870000002,37.13442449
어린이집,가정,해닮어린이집,127.047275,37.14723741
어린이집,가정,해맑은어린이집,127.0796605,37.15742547
어린이집,민간,해에게서소년에게어린이집,127.07056170000001,37.16123287
어린이집,가정,해와달어린이집,127.0692351,37.13102168
어린이집,가정,행복나무어린이집,127.08265970000001,37.13016828
어린이집,민간,혜아어린이집,127.04857450000002,37.1767816
어린이집,민간,효성자연숲어린이집,127.03025090000001,37.19605455
어린이집,가정,희망찬어린이집,127.07179040000001,37.13308616
어린이집,가정,e-편한어린이집,127.0269994,37.16817011
어린이집,민간,경희어린이집,127.051204,37.1454946
어린이집,가정,고은 몬테소리 어린이집,127.0782176,37.153625399999996
어린이집,가정,고현천사어린이집,127.08049809999999,37.13424407
어린이집,가정,대림어린이집,127.0698443,37.14075917
어린이집,가정,대림천사어린이집,127.02586629999999,37.16744446
어린이집,민간,대림햇살어린이집,127.06988249999999,37.13996607
어린이집,민간,대원어린이집,127.08792930000001,37.14247302
어린이집,민간,대일어린이집,127.06945390000001,37.15400854
어린이집,민간,도담도담어린이집,127.08203200000001,37.15831724
어린이집,민간,동부어린이집,127.0753263,37.16316103
어린이집,가정,동심어린이집,127.06981840000002,37.13737878
어린이집,가정,기린꼬마어린이집,127.08693829999999,37.14249661
어린이집,가정,기린친구어린이집,127.0709915,37.16091893
어린이집,가정,기쁨나라어린이집,127.0801936,37.13026775
어린이집,가정,꼬마들의정원어린이집,127.0692545,37.16532954
어린이집,가정,꼬마별어린이집,127.0804162,37.15722083
어린이집,가정,꼬마요정어린이집,127.0816094,37.15734223
어린이집,가정,꼬망세어린이집,127.05819699999999,37.17254519
어린이집,가정,꿈꾸는어린이집,127.07087220000001,37.13219044
어린이집,민간,꿈나무어린이집,127.07683459999998,37.15121370000001
어린이집,민간,그린어린이집,127.06961299999999,37.14977247
어린이집,가정,꿈샘어린이집,127.08944879999999,37.14257744
어린이집,가정,꿈이노는어린이집,127.0762946,37.14505511
어린이집,민간,늘해랑어린이집,127.05682220000001,37.1610651
어린이집,가정,다빛어린이집,127.070752,37.13553426
어린이집,민간,둥근해어린이집,127.0565058,37.16123518
어린이집,가정,딸기어린이집,127.0291847,37.1699636
어린이집,가정,또래어린이집,127.0721723,37.13723405
어린이집,사회복지법인,로뎀어린이집,127.06902749999999,37.15770278
어린이집,가정,리틀랜드어린이집,127.0494235,37.14193627
어린이집,가정,리틀예지어린이집,127.0772841,37.13923551
어린이집,가정,무지개어린이집,127.07880800000001,37.15478131
어린이집,민간,물향기어린이집,127.07566000000001,37.15384162
어린이집,민간,베스트어린이집,127.06141869999999,37.19785966
어린이집,민간,베이비캐슬어린이집,127.0752162,37.16270993
어린이집,가정,별수아그림책어린이집,127.02531640000001,37.16711775
어린이집,가정,봄빛아가어린이집,127.0726023,37.1308626
어린이집,가정,사과나무어린이집,127.07683359999999,37.15543231
어린이집,가정,사랑뜰어린이집,127.0796594,37.13118529999999
어린이집,가정,사랑해어린이집,127.03311200000002,37.19621008
어린이집,민간,삼미예꼬어린이집,127.06861310000001,37.17116835
유치원,공립,오산원당초등학교병설유치원,127.0908645,37.14194839
유치원,공립,오산초등학교병설유치원,127.0499533,37.14475593
유치원,공립,운암초등학교병설유치원,127.0761442,37.14364336
유치원,공립,운천초등학교병설유치원,127.07917320000001,37.15611193
유치원,공립,필봉초등학교병설유치원,127.05255290000001,37.178499
유치원,사립,그린숲유치원,127.08519960000001,37.14908875
유치원,사립,근혜유치원,127.0718595,37.14767361
유치원,사립,노틀담유치원,127.0567804,37.15342109
유치원,사립,동탄자연유치원,127.0602467,37.19702093
유치원,사립,동화마을유치원,127.07639350000001,37.15694265
유치원,사립,별새꽃유치원,127.0731383,37.13064304
유치원,사립,숲속다원유치원,127.03794679999999,37.15183331
유치원,사립,숲속사랑유치원,127.056694,37.17446953
유치원,사립,신동아유치원,127.04306470000002,37.14458726
유치원,사립,예인유치원,127.0790261,37.15533713
유치원,사립,오르다유치원,127.07970120000002,37.14381229999999
유치원,사립,오산대학부설유치원,127.0607557,37.15550063
유치원,사립,이림유치원,127.08530859999999,37.13544681
유치원,사립,지예뜰유치원,127.0838365,37.13750222
유치원,사립,펀키즈유치원,127.0345848,37.18783095
유치원,사립,해에게서소년에게유치원,127.07041940000002,37.16105497
유치원,공립,가수초등학교병설유치원,127.04774909999999,37.14791946
유치원,공립,광성초등학교병설유치원,127.04003359999999,37.18380171
유치원,공립,금암초등학교병설유치원,127.04400600000001,37.17838514
유치원,공립,매홀초등학교삼미분교장병설유치원,127.060326,37.191193
유치원,공립,성산초등학교병설유치원,127.06642450000001,37.14969499
유치원,공립,성호초등학교병설유치원,127.07097240000002,37.15003486
유치원,공립,세미초등학교병설유치원,127.0646658,37.1739971
유치원,공립,오산고현초등학교병설유치원,127.08553140000001,37.13336523
유치원,사립,뿌리유치원,127.02564509999999,37.19591534
유치원,사립,오산이화유치원,127.062722,37.16503272
유치원,공립,대호초등학교병설유치원,127.0576963,37.15899814
유치원,공립,양산초등학교병설유치원,127.0321106,37.19688704
유치원,공립,오산대원초등학교병설유치원,127.07105619999999,37.13044603
유치원,공립,오산원일초등학교병설유치원,127.07119920000001,37.13936633
유치원,공립,운산초등학교병설유치원,127.0774136,37.15249986
유치원,공립,원동초등학교병설유치원,127.06969860000001,37.1351683
유치원,공립,화성초등학교병설유치원,127.06885759999999,37.16461498
유치원,사립,노블킨더유치원,127.060528,37.19657928
유치원,사립,동탄숲유치원,127.0573325,37.18544394
유치원,사립,물향기유치원,127.05478070000001,37.17574987
유치원,사립,오산유치원,127.0694773,37.15230635
유치원,사립,정원유치원,127.05836880000001,37.17041407
유치원,사립,창의나라유치원,127.0494744,37.17136399
유치원,사립,하늘꿈의유치원,127.0648643,37.19652303
유치원,공립,매홀초등학교병설유치원,127.0635868,37.16236518
유치원,공립,문시초등학교병설유치원,127.0458616,37.17414057
유치원,공립,세교유치원,127.0443318,37.17705148
유치원,공립,수청초등학교병설유치원,127.05566670000002,37.17066759
유치원,공립,오산다온유치원,127.090752,37.151697799999994
