시군명,구/읍면동명,사고년도,사고유형구분,다발지역FID,다발지역ID,법정동코드,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보
안산시,상록구,2018,스쿨존내어린이사고다발지,6503363,2019034,4127110400,41271001,경기도 안산시 상록구1,경기도 안산시 상록구 본오동(본오초교 부근),3,3,0,0,3,0,37.294094485973,126.868859590199,"{""type"":""Polygon"",""coordinates"":[[[126.87155454,37.29409449],[126.87150275,37.29367623],[126.8713494,37.29327404],[126.87110036,37.29290337],[126.8707652,37.29257849],[126.87035682,37.29231186],[126.8698909,37.29211373],[126.86938535,37.29199173],[126.86885959,37.29195053],[126.86833383,37.29199173],[126.86782828,37.29211373],[126.86736236,37.29231186],[126.86695398,37.29257849],[126.86661882,37.29290337],[126.86636978,37.29327404],[126.86621643,37.29367623],[126.86616464,37.29409449],[126.86621643,37.29451274],[126.86636978,37.29491493],[126.86661882,37.29528558],[126.86695398,37.29561046],[126.86736236,37.29587707],[126.86782828,37.29607519],[126.86833383,37.29619719],[126.86885959,37.29623838],[126.86938535,37.29619719],[126.8698909,37.29607519],[126.87035682,37.29587707],[126.8707652,37.29561046],[126.87110036,37.29528558],[126.8713494,37.29491493],[126.87150275,37.29451274],[126.87155454,37.29409449]]]}"
안산시,단원구,2018,스쿨존내어린이사고다발지,6503364,2019034,4127310900,41273002,경기도 안산시 단원구2,경기도 안산시 단원구 선부동(안산화정초교 부근),1,1,1,0,0,0,37.345731130588,126.817302691167,"{""type"":""Polygon"",""coordinates"":[[[126.81999764,37.34573113],[126.81994585,37.34531316],[126.8197925,37.34491124],[126.81954346,37.34454084],[126.81920831,37.34421617],[126.81879992,37.34394972],[126.818334,37.34375174],[126.81782845,37.34362981],[126.81730269,37.34358865],[126.81677693,37.34362981],[126.81627138,37.34375174],[126.81580546,37.34394972],[126.81539708,37.34421617],[126.81506193,37.34454084],[126.81481289,37.34491124],[126.81465953,37.34531316],[126.81460775,37.34573113],[126.81465953,37.3461491],[126.81481289,37.34655101],[126.81506193,37.3469214],[126.81539708,37.34724606],[126.81580546,37.34751249],[126.81627138,37.34771047],[126.81677693,37.34783239],[126.81730269,37.34787355],[126.81782845,37.34783239],[126.818334,37.34771047],[126.81879992,37.34751249],[126.81920831,37.34724606],[126.81954346,37.3469214],[126.8197925,37.34655101],[126.81994585,37.3461491],[126.81999764,37.34573113]]]}"
화성시,병점동,2018,스쿨존내어린이사고다발지,6503361,2019034,4159011700,41590001,경기도 화성시1,경기도 화성시 병점동(태안초교 부근),2,2,0,1,1,0,37.210868524963,127.042759000429,"{""type"":""Polygon"",""coordinates"":[[[127.04545395,37.21086852],[127.04540216,37.2104498],[127.04524881,37.21004717],[127.04499977,37.2096761],[127.04466461,37.20935085],[127.04425623,37.20908392],[127.04379031,37.20888558],[127.04328476,37.20876344],[127.042759,37.2087222],[127.04223324,37.20876344],[127.04172769,37.20888558],[127.04126177,37.20908392],[127.04085339,37.20935085],[127.04051823,37.2096761],[127.0402692,37.21004717],[127.04011584,37.2104498],[127.04006405,37.21086852],[127.04011584,37.21128725],[127.0402692,37.21168987],[127.04051823,37.21206093],[127.04085339,37.21238617],[127.04126177,37.21265308],[127.04172769,37.21285142],[127.04223324,37.21297355],[127.042759,37.21301479],[127.04328476,37.21297355],[127.04379031,37.21285142],[127.04425623,37.21265308],[127.04466461,37.21238617],[127.04499977,37.21206093],[127.04524881,37.21168987],[127.04540216,37.21128725],[127.04545395,37.21086852]]]}"
용인시,처인구,2018,스쿨존내어린이사고다발지,6503385,2019034,4146110100,41461001,경기도 용인시 처인구1,경기도 용인시 처인구 김량장동(역북초교 부근),2,2,0,1,1,0,37.234858754429,127.191809999533,"{""type"":""Polygon"",""coordinates"":[[[127.19450495,37.23485875],[127.19445316,37.23444016],[127.1942998,37.23403766],[127.19405077,37.23366671],[127.19371561,37.23334156],[127.19330723,37.23307472],[127.19284131,37.23287644],[127.19233576,37.23275434],[127.19181,37.23271311],[127.19128424,37.23275434],[127.19077869,37.23287644],[127.19031277,37.23307472],[127.18990439,37.23334156],[127.18956923,37.23366671],[127.18932019,37.23403766],[127.18916684,37.23444016],[127.18911505,37.23485875],[127.18916684,37.23527734],[127.18932019,37.23567984],[127.18956923,37.23605078],[127.18990439,37.23637592],[127.19031277,37.23664275],[127.19077869,37.23684102],[127.19128424,37.23696311],[127.19181,37.23700434],[127.19233576,37.23696311],[127.19284131,37.23684102],[127.19330723,37.23664275],[127.19371561,37.23637592],[127.19405077,37.23605078],[127.1942998,37.23567984],[127.19445316,37.23527734],[127.19450495,37.23485875]]]}"
안산시,상록구,2018,스쿨존내어린이사고다발지,6503353,2019034,4127111300,41271004,경기도 안산시 상록구4,경기도 안산시 상록구 수암동(안산초교 부근),2,2,0,0,2,0,37.363927634254,126.877497742128,"{""type"":""Polygon"",""coordinates"":[[[126.88019269,37.36392763],[126.88014091,37.36350976],[126.87998755,37.36310795],[126.87973851,37.36273763],[126.87940336,37.36241304],[126.87899497,37.36214666],[126.87852905,37.36194872],[126.8780235,37.36182683],[126.87749774,37.36178567],[126.87697198,37.36182683],[126.87646643,37.36194872],[126.87600051,37.36214666],[126.87559213,37.36241304],[126.87525698,37.36273763],[126.87500794,37.36310795],[126.87485458,37.36350976],[126.8748028,37.36392763],[126.87485458,37.3643455],[126.87500794,37.36474731],[126.87525698,37.36511762],[126.87559213,37.3654422],[126.87600051,37.36570857],[126.87646643,37.3659065],[126.87697198,37.36602838],[126.87749774,37.36606954],[126.8780235,37.36602838],[126.87852905,37.3659065],[126.87899497,37.36570857],[126.87940336,37.3654422],[126.87973851,37.36511762],[126.87998755,37.36474731],[126.88014091,37.3643455],[126.88019269,37.36392763]]]}"
안산시,상록구,2018,스쿨존내어린이사고다발지,6503362,2019034,4127110400,41271003,경기도 안산시 상록구3,경기도 안산시 상록구 본오동(이호초교 부근),2,2,0,1,1,0,37.286628549969,126.861179324168,"{""type"":""Polygon"",""coordinates"":[[[126.86387427,37.28662855],[126.86382249,37.28621025],[126.86366913,37.28580802],[126.86342009,37.28543732],[126.86308494,37.2851124],[126.86267656,37.28484574],[126.86221064,37.2846476],[126.86170508,37.28452558],[126.86117932,37.28448438],[126.86065357,37.28452558],[126.86014801,37.2846476],[126.85968209,37.28484574],[126.85927371,37.2851124],[126.85893856,37.28543732],[126.85868952,37.28580802],[126.85853616,37.28621025],[126.85848438,37.28662855],[126.85853616,37.28704685],[126.85868952,37.28744907],[126.85893856,37.28781976],[126.85927371,37.28814467],[126.85968209,37.28841132],[126.86014801,37.28860945],[126.86065357,37.28873146],[126.86117932,37.28877266],[126.86170508,37.28873146],[126.86221064,37.28860945],[126.86267656,37.28841132],[126.86308494,37.28814467],[126.86342009,37.28781976],[126.86366913,37.28744907],[126.86382249,37.28704685],[126.86387427,37.28662855]]]}"
안산시,상록구,2018,스쿨존내어린이사고다발지,6503348,2019034,4127110300,41271002,경기도 안산시 상록구2,경기도 안산시 상록구 사동(초당초교 부근),2,2,0,2,0,0,37.284734397875,126.851008602466,"{""type"":""Polygon"",""coordinates"":[[[126.85370355,37.2847344],[126.85365177,37.28431609],[126.85349841,37.28391385],[126.85324937,37.28354314],[126.85291422,37.28321821],[126.85250583,37.28295155],[126.85203991,37.2827534],[126.85153436,37.28263138],[126.8510086,37.28259017],[126.85048284,37.28263138],[126.84997729,37.2827534],[126.84951137,37.28295155],[126.84910299,37.28321821],[126.84876784,37.28354314],[126.8485188,37.28391385],[126.84836544,37.28431609],[126.84831366,37.2847344],[126.84836544,37.28515271],[126.8485188,37.28555494],[126.84876784,37.28592564],[126.84910299,37.28625056],[126.84951137,37.28651721],[126.84997729,37.28671535],[126.85048284,37.28683736],[126.8510086,37.28687856],[126.85153436,37.28683736],[126.85203991,37.28671535],[126.85250583,37.28651721],[126.85291422,37.28625056],[126.85324937,37.28592564],[126.85349841,37.28555494],[126.85365177,37.28515271],[126.85370355,37.2847344]]]}"
화성시,향남읍,2018,스쿨존내어린이사고다발지,6503372,2019034,4159025939,41590002,경기도 화성시2,경기도 화성시 향남읍(한울초교 부근),1,1,1,0,0,0,37.126554743108,126.917678271236,"{""type"":""Polygon"",""coordinates"":[[[126.92037322,37.12655474],[126.92032143,37.12613555],[126.92016808,37.12573247],[126.91991904,37.12536098],[126.91958389,37.12503537],[126.9191755,37.12476815],[126.91870958,37.12456958],[126.91820403,37.12444731],[126.91767827,37.12440602],[126.91715251,37.12444731],[126.91664696,37.12456958],[126.91618104,37.12476815],[126.91577266,37.12503537],[126.91543751,37.12536098],[126.91518847,37.12573247],[126.91503511,37.12613555],[126.91498333,37.12655474],[126.91503511,37.12697393],[126.91518847,37.12737701],[126.91543751,37.12774848],[126.91577266,37.12807408],[126.91618104,37.12834129],[126.91664696,37.12853985],[126.91715251,37.12866212],[126.91767827,37.1287034],[126.91820403,37.12866212],[126.91870958,37.12853985],[126.9191755,37.12834129],[126.91958389,37.12807408],[126.91991904,37.12774848],[126.92016808,37.12737701],[126.92032143,37.12697393],[126.92037322,37.12655474]]]}"
안산시,단원구,2018,스쿨존내어린이사고다발지,6503375,2019034,4127310900,41273001,경기도 안산시 단원구1,경기도 안산시 단원구 선부동(석수초교 부근),2,2,0,2,0,0,37.344763109331,126.806785284414,"{""type"":""Polygon"",""coordinates"":[[[126.80948023,37.34476311],[126.80942845,37.34434513],[126.80927509,37.34394321],[126.80902605,37.3435728],[126.8086909,37.34324813],[126.80828252,37.34298168],[126.8078166,37.34278369],[126.80731104,37.34266177],[126.80678528,37.3426206],[126.80625953,37.34266177],[126.80575397,37.34278369],[126.80528805,37.34298168],[126.80487967,37.34324813],[126.80454452,37.3435728],[126.80429548,37.34394321],[126.80414212,37.34434513],[126.80409034,37.34476311],[126.80414212,37.34518109],[126.80429548,37.345583],[126.80454452,37.3459534],[126.80487967,37.34627806],[126.80528805,37.3465445],[126.80575397,37.34674248],[126.80625953,37.34686439],[126.80678528,37.34690556],[126.80731104,37.34686439],[126.8078166,37.34674248],[126.80828252,37.3465445],[126.8086909,37.34627806],[126.80902605,37.3459534],[126.80927509,37.345583],[126.80942845,37.34518109],[126.80948023,37.34476311]]]}"
남양주시,화도읍,2018,스쿨존내어린이사고다발지,6503384,2019034,4136025623,41360001,경기도 남양주시1,경기도 남양주시 화도읍(가곡초교 부근),2,2,0,1,1,0,37.683617867172,127.306171020377,"{""type"":""Polygon"",""coordinates"":[[[127.30886597,37.68361787],[127.30881418,37.68320178],[127.30866083,37.68280168],[127.30841179,37.68243295],[127.30807663,37.68210975],[127.30766825,37.68184451],[127.30720233,37.68164741],[127.30669678,37.68152604],[127.30617102,37.68148506],[127.30564526,37.68152604],[127.30513971,37.68164741],[127.30467379,37.68184451],[127.30426541,37.68210975],[127.30393025,37.68243295],[127.30368122,37.68280168],[127.30352786,37.68320178],[127.30347607,37.68361787],[127.30352786,37.68403395],[127.30368122,37.68443404],[127.30393025,37.68480276],[127.30426541,37.68512595],[127.30467379,37.68539118],[127.30513971,37.68558827],[127.30564526,37.68570963],[127.30617102,37.68575061],[127.30669678,37.68570963],[127.30720233,37.68558827],[127.30766825,37.68539118],[127.30807663,37.68512595],[127.30841179,37.68480276],[127.30866083,37.68443404],[127.30881418,37.68403395],[127.30886597,37.68361787]]]}"
광주시,오포읍,2018,스쿨존내어린이사고다발지,6503351,2019034,4161025022,41610001,경기도 광주시1,경기도 광주시 오포읍(광명초교 부근),3,3,0,1,2,0,37.359435520634,127.160781140638,"{""type"":""Polygon"",""coordinates"":[[[127.16347609,37.35943552],[127.1634243,37.35901762],[127.16327095,37.35861578],[127.16302191,37.35824544],[127.16268676,37.35792084],[127.16227837,37.35765444],[127.16181245,37.35745649],[127.1613069,37.35733459],[127.16078114,37.35729343],[127.16025538,37.35733459],[127.15974983,37.35745649],[127.15928391,37.35765444],[127.15887553,37.35792084],[127.15854038,37.35824544],[127.15829134,37.35861578],[127.15813798,37.35901762],[127.15808619,37.35943552],[127.15813798,37.35985342],[127.15829134,37.36025525],[127.15854038,37.36062558],[127.15887553,37.36095017],[127.15928391,37.36121656],[127.15974983,37.3614145],[127.16025538,37.36153639],[127.16078114,37.36157755],[127.1613069,37.36153639],[127.16181245,37.3614145],[127.16227837,37.36121656],[127.16268676,37.36095017],[127.16302191,37.36062558],[127.16327095,37.36025525],[127.1634243,37.35985342],[127.16347609,37.35943552]]]}"
안산시,상록구,2017,스쿨존내어린이사고다발지,6393995,2018027,4127110400,41271001,경기도 안산시 상록구1,경기도 안산시 상록구 본오동(본원초교 부근),3,3,0,1,2,0,37.291460766502,126.86300000165,"{""type"":""Polygon"",""coordinates"":[[[126.86569495,37.29146077],[126.86564316,37.29104249],[126.86548981,37.29064029],[126.86524077,37.29026961],[126.86490562,37.28994471],[126.86449723,37.28967807],[126.86403131,37.28947994],[126.86352576,37.28935793],[126.863,37.28931673],[126.86247424,37.28935793],[126.86196869,37.28947994],[126.86150277,37.28967807],[126.86109439,37.28994471],[126.86075924,37.29026961],[126.8605102,37.29064029],[126.86035684,37.29104249],[126.86030506,37.29146077],[126.86035684,37.29187904],[126.8605102,37.29228124],[126.86075924,37.2926519],[126.86109439,37.29297679],[126.86150277,37.29324342],[126.86196869,37.29344154],[126.86247424,37.29356354],[126.863,37.29360474],[126.86352576,37.29356354],[126.86403131,37.29344154],[126.86449723,37.29324342],[126.86490562,37.29297679],[126.86524077,37.2926519],[126.86548981,37.29228124],[126.86564316,37.29187904],[126.86569495,37.29146077]]]}"
시흥시,정왕동,2017,스쿨존내어린이사고다발지,6394245,2018027,4139013200,41390001,경기도 시흥시1,경기도 시흥시 정왕동(보람유치원 부근),1,1,1,0,0,0,37.342912826167,126.754218608603,"{""type"":""Polygon"",""coordinates"":[[[126.75691355,37.34291283],[126.75686177,37.34249484],[126.75670841,37.34209291],[126.75645937,37.34172249],[126.75612422,37.34139781],[126.75571584,37.34113135],[126.75524992,37.34093336],[126.75474437,37.34081143],[126.75421861,37.34077026],[126.75369285,37.34081143],[126.7531873,37.34093336],[126.75272138,37.34113135],[126.75231299,37.34139781],[126.75197784,37.34172249],[126.7517288,37.34209291],[126.75157545,37.34249484],[126.75152366,37.34291283],[126.75157545,37.34333081],[126.7517288,37.34373273],[126.75197784,37.34410314],[126.75231299,37.34442781],[126.75272138,37.34469426],[126.7531873,37.34489224],[126.75369285,37.34501416],[126.75421861,37.34505533],[126.75474437,37.34501416],[126.75524992,37.34489224],[126.75571584,37.34469426],[126.75612422,37.34442781],[126.75645937,37.34410314],[126.75670841,37.34373273],[126.75686177,37.34333081],[126.75691355,37.34291283]]]}"
성남시,중원구,2017,스쿨존내어린이사고다발지,6394251,2018027,4113310400,41133001,경기도 성남시 중원구1,경기도 성남시 중원구 은행동(중부초교 부근),1,1,1,0,0,0,37.450731226965,127.165031940972,"{""type"":""Polygon"",""coordinates"":[[[127.16772689,37.45073123],[127.1676751,37.45031384],[127.16752175,37.44991249],[127.16727271,37.4495426],[127.16693756,37.44921839],[127.16652917,37.44895231],[127.16606325,37.4487546],[127.1655577,37.44863285],[127.16503194,37.44859174],[127.16450618,37.44863285],[127.16400063,37.4487546],[127.16353471,37.44895231],[127.16312633,37.44921839],[127.16279118,37.4495426],[127.16254214,37.44991249],[127.16238878,37.45031384],[127.162337,37.45073123],[127.16238878,37.45114861],[127.16254214,37.45154996],[127.16279118,37.45191983],[127.16312633,37.45224403],[127.16353471,37.4525101],[127.16400063,37.4527078],[127.16450618,37.45282954],[127.16503194,37.45287065],[127.1655577,37.45282954],[127.16606325,37.4527078],[127.16652917,37.4525101],[127.16693756,37.45224403],[127.16727271,37.45191983],[127.16752175,37.45154996],[127.1676751,37.45114861],[127.16772689,37.45073123]]]}"
구리시,인창동,2017,스쿨존내어린이사고다발지,6394234,2018027,4131010300,41310001,경기도 구리시1,경기도 구리시 인창동(동인초교 부근),2,2,0,1,1,0,37.610915785336,127.133115238978,"{""type"":""Polygon"",""coordinates"":[[[127.13581018,37.61091579],[127.1357584,37.61049929],[127.13560504,37.6100988],[127.135356,37.60972971],[127.13502085,37.60940619],[127.13461247,37.60914069],[127.13414655,37.6089434],[127.133641,37.60882191],[127.13311524,37.60878089],[127.13258948,37.60882191],[127.13208393,37.6089434],[127.13161801,37.60914069],[127.13120962,37.60940619],[127.13087447,37.60972971],[127.13062543,37.6100988],[127.13047208,37.61049929],[127.13042029,37.61091579],[127.13047208,37.61133228],[127.13062543,37.61173276],[127.13087447,37.61210184],[127.13120962,37.61242535],[127.13161801,37.61269084],[127.13208393,37.61288812],[127.13258948,37.6130096],[127.13311524,37.61305062],[127.133641,37.6130096],[127.13414655,37.61288812],[127.13461247,37.61269084],[127.13502085,37.61242535],[127.135356,37.61210184],[127.13560504,37.61173276],[127.1357584,37.61133228],[127.13581018,37.61091579]]]}"
안산시,단원구,2017,스쿨존내어린이사고다발지,6393997,2018027,4127310900,41273001,경기도 안산시 단원구1,경기도 안산시 단원구 선부동(석수초교 부근),2,2,0,2,0,0,37.34431840627,126.805472099759,"{""type"":""Polygon"",""coordinates"":[[[126.80816705,37.34431841],[126.80811526,37.34390043],[126.80796191,37.3434985],[126.80771287,37.34312809],[126.80737771,37.34280342],[126.80696933,37.34253697],[126.80650341,37.34233897],[126.80599786,37.34221705],[126.8054721,37.34217588],[126.80494634,37.34221705],[126.80444079,37.34233897],[126.80397487,37.34253697],[126.80356649,37.34280342],[126.80323133,37.34312809],[126.80298229,37.3434985],[126.80282894,37.34390043],[126.80277715,37.34431841],[126.80282894,37.34473638],[126.80298229,37.3451383],[126.80323133,37.3455087],[126.80356649,37.34583336],[126.80397487,37.3460998],[126.80444079,37.34629779],[126.80494634,37.3464197],[126.8054721,37.34646087],[126.80599786,37.3464197],[126.80650341,37.34629779],[126.80696933,37.3460998],[126.80737771,37.34583336],[126.80771287,37.3455087],[126.80796191,37.3451383],[126.80811526,37.34473638],[126.80816705,37.34431841]]]}"
안산시,단원구,2017,스쿨존내어린이사고다발지,6394556,2018027,4127310200,41273002,경기도 안산시 단원구2,경기도 안산시 단원구 와동(덕인초교 부근),2,2,0,0,2,0,37.340281280358,126.823144531596,"{""type"":""Polygon"",""coordinates"":[[[126.82583948,37.34028128],[126.82578769,37.33986328],[126.82563434,37.33946133],[126.8253853,37.3390909],[126.82505015,37.33876621],[126.82464176,37.33849974],[126.82417584,37.33830174],[126.82367029,37.33817981],[126.82314453,37.33813864],[126.82261877,37.33817981],[126.82211322,37.33830174],[126.8216473,37.33849974],[126.82123892,37.33876621],[126.82090377,37.3390909],[126.82065473,37.33946133],[126.82050137,37.33986328],[126.82044959,37.34028128],[126.82050137,37.34069928],[126.82065473,37.34110122],[126.82090377,37.34147164],[126.82123892,37.34179632],[126.8216473,37.34206277],[126.82211322,37.34226077],[126.82261877,37.34238269],[126.82314453,37.34242386],[126.82367029,37.34238269],[126.82417584,37.34226077],[126.82464176,37.34206277],[126.82505015,37.34179632],[126.8253853,37.34147164],[126.82563434,37.34110122],[126.82578769,37.34069928],[126.82583948,37.34028128]]]}"
