lat,lon
37.1593134,127.0593574
37.1454094,127.06779640000002
37.1591978,127.0623857
37.1585588,127.0619202
37.1562159,127.0779908
37.1435473,127.0683157
37.1538045,127.0741778
37.14526420000001,127.0754977
37.1962677,127.02297140000002
37.1379969,127.073774
37.1537248,127.0688269
37.15890570000001,127.0620307
37.1564829,127.06502720000002
37.1580981,127.0772756
37.1416672,127.0737855
37.1484605,127.0748137
37.1485321,127.0699059
37.1507488,127.075441
37.1509083,127.07427959999998
37.14647670000001,127.0742219
37.1460391,127.0717961
37.149108700000006,127.0713949
37.1476902,127.0759792
37.1604411,127.06590049999998
37.1371515,127.08945049999998
37.1496912,127.0639997
37.1311389,127.0684183
37.12988970000001,127.0822459
37.1509755,127.07169740000002
37.1394486,127.0713566
37.1771108,127.0480021
37.1775949,127.0453728
37.141894,127.0764043
37.1421969,127.0495223
37.1871286,127.0419627
37.1773335,127.0458627
37.1624617,127.0534525
37.1796392,127.0461265
37.1855632,127.0421246
37.1414101,127.0696116
37.1611802,127.057167
37.18470192,127.0448174
37.1527712,127.0776814
37.1313327,127.07324409999998
37.1598596,127.0534804
37.156273,127.0531243
37.1604164,127.0539261
37.1841969,127.0398682
37.17527482,127.0499871
37.17451761,127.0507388
37.171807,127.06001670000002
37.16934122,127.0667373
37.17095224,127.0668603
37.1652518,127.0678084
37.1579714,127.0544575
37.1579555,127.06997959999998
37.1636435,127.0532823
37.17604779999999,127.0565341
37.17545670000001,127.0574423
37.1628878,127.0717792
37.16247360000001,127.0744696
37.157283,127.05479479999998
37.1566703,127.05604309999998
37.1557521,127.0568392
37.137962,127.0749683
37.1442417,127.0741424
37.1320219,127.0695476
37.1537164,127.0562588
37.1629125,127.061872
37.13284018,127.0683843
37.1634231,127.0694871
37.17522720000001,127.0662425
37.1757304,127.0677697
37.14963579999999,127.075414
37.17675070000001,127.0455794
37.1583074,127.0535347
37.163002,127.0546127
37.1563144,127.0535606
37.1621777,127.0538805
37.16913961,127.0595491
37.16967636,127.060117
37.15073601,127.0889463
37.15091126,127.090743
37.15016094,127.0915706
37.15135441,127.0909642
37.1519816,127.0908929
37.171135,127.028245
37.169523,127.026424
37.170392,127.027797
37.176271,127.062597
37.176117,127.064053
37.146315,127.069994
37.164005,127.062405
37.153052,127.063277
37.141524,127.085559
37.141415,127.087718
37.159769,127.078111
37.16058870000001,127.080601
37.141494,127.071942
37.142084,127.072564
37.142429,127.070623
37.169868,127.0613504
37.169651,127.062472
37.193033,127.061191
37.193467,127.062122
37.190757,127.067124
37.19175900000001,127.065817
37.154632,127.091941
37.142519,127.068303
37.158197,127.0642868
37.175949,127.050714
37.143045,127.074068
37.1636435,127.05328229999999
37.17604779999999,127.05653410000001
37.175456700000005,127.05744229999999
37.159313399999995,127.0593574
37.1454094,127.06779640000002
37.159197799999994,127.06238570000001
37.1585588,127.0619202
37.1562159,127.07799080000001
37.1435473,127.06831570000001
37.1538045,127.07417779999999
37.14526420000001,127.0754977
37.1962677,127.02297140000002
37.1379969,127.073774
37.1537248,127.0688269
37.158905700000005,127.06203070000001
37.1564829,127.06502720000002
37.158098100000004,127.07727560000001
37.1416672,127.0737855
37.1484605,127.0748137
37.1485321,127.06990590000001
37.150748799999995,127.075441
37.1509083,127.07427959999998
37.14647670000001,127.0742219
37.1460391,127.07179609999999
37.149108700000006,127.0713949
37.1476902,127.0759792
37.1604411,127.06590049999998
37.1371515,127.08945049999998
37.1496912,127.0639997
37.131138899999996,127.06841829999999
37.12988970000001,127.0822459
37.1509755,127.07169740000002
37.1394486,127.07135659999999
37.177110799999994,127.04800209999999
37.177594899999995,127.0453728
37.141894,127.07640430000001
37.142196899999995,127.0495223
37.1871286,127.04196270000001
37.1773335,127.04586270000001
37.1624617,127.05345249999999
37.179639200000004,127.04612649999999
37.185563200000004,127.04212460000001
37.1414101,127.06961159999999
37.161180200000004,127.05716699999999
37.18470192,127.04481740000001
37.152771200000004,127.0776814
37.1313327,127.07324409999998
37.159859600000004,127.0534804
37.156273,127.05312430000001
37.160416399999995,127.0539261
37.184196899999996,127.0398682
37.17527482,127.04998710000001
37.17451761,127.0507388
37.171807,127.06001670000002
37.16934122,127.06673729999999
37.17095224,127.06686029999999
37.1652518,127.0678084
37.1579714,127.0544575
37.1579555,127.06997959999998
37.154632,127.09194099999999
37.142519,127.068303
37.1634231,127.0694871
37.1628878,127.07177920000001
37.162473600000006,127.0744696
37.157283,127.05479479999998
37.156670299999995,127.05604309999998
37.1557521,127.0568392
37.137962,127.0749683
37.1442417,127.07414240000001
37.1320219,127.0695476
37.1537164,127.0562588
37.1629125,127.061872
37.13284018,127.06838429999999
37.17522720000001,127.0662425
37.1757304,127.0677697
37.14963579999999,127.075414
37.17675070000001,127.0455794
37.1583074,127.0535347
37.163002,127.0546127
37.1563144,127.0535606
37.1621777,127.05388049999999
37.16913961,127.0595491
37.16967636,127.06011699999999
37.15073601,127.0889463
37.15091126,127.09074299999999
37.15016094,127.0915706
37.15135441,127.0909642
37.1519816,127.0908929
37.171135,127.028245
37.169523,127.026424
37.170392,127.02779699999999
37.176271,127.062597
37.176117,127.064053
37.146315,127.069994
37.164004999999996,127.062405
37.153052,127.063277
37.141524,127.085559
37.141415,127.087718
37.159769,127.078111
37.160588700000005,127.080601
37.141494,127.07194199999999
37.142084000000004,127.07256399999999
37.142429,127.070623
37.169868,127.0613504
37.169651,127.062472
37.193033,127.061191
37.193467,127.062122
37.190757,127.06712399999999
37.191759000000005,127.065817
37.158196999999994,127.0642868
37.175948999999996,127.05071399999999
37.143045,127.074068
